victim_id,worthless_death_count,total_deaths,worthless_death_ratio
0.0,749,1173,0.638533674339301
1.0,184,336,0.5476190476190477
2.0,21,36,0.5833333333333334
3.0,3,4,0.75
4.0,21,33,0.6363636363636364
5.0,82,165,0.49696969696969695
6.0,214,328,0.6524390243902439
7.0,4,12,0.3333333333333333
8.0,46,83,0.5542168674698795
9.0,47,84,0.5595238095238095
10.0,187,336,0.5565476190476191
11.0,111,144,0.7708333333333334
12.0,9,12,0.75
13.0,51,116,0.4396551724137931
14.0,93,159,0.5849056603773585
15.0,97,136,0.7132352941176471
16.0,11,17,0.6470588235294118
17.0,74,127,0.5826771653543307
18.0,658,1214,0.5420098846787479
19.0,14,29,0.4827586206896552
20.0,21,24,0.875
21.0,98,172,0.5697674418604651
22.0,117,213,0.5492957746478874
23.0,241,451,0.5343680709534369
24.0,332,540,0.6148148148148148
25.0,485,850,0.5705882352941176
26.0,393,741,0.5303643724696356
27.0,101,167,0.6047904191616766
28.0,577,972,0.5936213991769548
29.0,38,77,0.4935064935064935
30.0,26,46,0.5652173913043478
31.0,469,841,0.5576694411414982
32.0,134,234,0.5726495726495726
33.0,786,1376,0.5712209302325582
34.0,332,595,0.5579831932773109
35.0,215,380,0.5657894736842105
36.0,585,1037,0.5641272902603665
37.0,850,1589,0.5349276274386406
38.0,326,528,0.6174242424242424
39.0,99,179,0.553072625698324
40.0,392,772,0.5077720207253886
41.0,360,624,0.5769230769230769
42.0,425,835,0.5089820359281437
43.0,289,523,0.5525812619502868
44.0,33,57,0.5789473684210527
45.0,270,468,0.5769230769230769
46.0,57,96,0.59375
47.0,327,609,0.5369458128078818
48.0,67,126,0.5317460317460317
49.0,8,12,0.6666666666666666
50.0,485,914,0.5306345733041575
51.0,294,482,0.6099585062240664
52.0,55,102,0.5392156862745098
53.0,861,1538,0.5598179453836151
54.0,22,41,0.5365853658536586
55.0,748,1490,0.5020134228187919
56.0,239,415,0.5759036144578313
57.0,114,174,0.6551724137931034
58.0,156,265,0.5886792452830188
59.0,45,105,0.42857142857142855
60.0,25,35,0.7142857142857143
61.0,118,192,0.6145833333333334
62.0,8,10,0.8
63.0,69,118,0.5847457627118644
64.0,220,358,0.6145251396648045
65.0,435,759,0.5731225296442688
66.0,175,285,0.6140350877192983
67.0,229,366,0.6256830601092896
68.0,347,696,0.4985632183908046
69.0,210,391,0.5370843989769821
70.0,633,1082,0.5850277264325323
71.0,316,594,0.531986531986532
72.0,332,601,0.5524126455906821
73.0,400,782,0.5115089514066496
74.0,404,774,0.5219638242894057
75.0,44,84,0.5238095238095238
76.0,101,208,0.4855769230769231
77.0,10,11,0.9090909090909091
78.0,30,45,0.6666666666666666
79.0,559,993,0.5629405840886204
80.0,133,231,0.5757575757575758
81.0,11,17,0.6470588235294118
82.0,323,568,0.5686619718309859
83.0,373,675,0.5525925925925926
84.0,225,383,0.587467362924282
85.0,565,999,0.5655655655655656
86.0,462,798,0.5789473684210527
87.0,521,938,0.5554371002132196
88.0,362,698,0.5186246418338109
89.0,356,582,0.6116838487972509
90.0,332,548,0.6058394160583942
91.0,249,438,0.5684931506849316
92.0,115,214,0.5373831775700935
93.0,59,106,0.5566037735849056
94.0,333,638,0.5219435736677116
95.0,24,46,0.5217391304347826
96.0,233,382,0.6099476439790575
97.0,258,447,0.5771812080536913
98.0,228,390,0.5846153846153846
99.0,79,152,0.5197368421052632
100.0,6,11,0.5454545454545454
101.0,428,726,0.5895316804407713
102.0,100,184,0.5434782608695652
103.0,396,672,0.5892857142857143
104.0,134,243,0.551440329218107
105.0,91,146,0.6232876712328768
